fips,ahrf_county_name,cbsa_ind,rucc_2013,ophth_total,ophth_patient_care,ophth_residents,ophth_teaching,optom_npi,rural_pop_2020
01001,Autauga,1,02,0.0,0.0,0.0,0.0,6.0,23920.0
01003,Baldwin,1,03,6.0,6.0,0.0,0.0,32.0,87113.0
01005,Barbour,2,06,0.0,0.0,0.0,0.0,3.0,16627.0
01007,Bibb,1,01,0.0,0.0,0.0,0.0,1.0,22293.0
01009,Blount,1,01,1.0,1.0,0.0,0.0,4.0,53510.0
01011,Bullock,0,06,0.0,0.0,0.0,0.0,0.0,10357.0
01013,Butler,0,06,0.0,0.0,0.0,0.0,2.0,13228.0
01015,Calhoun,1,03,3.0,3.0,0.0,0.0,22.0,42494.0
01017,Chambers,2,06,1.0,1.0,0.0,0.0,2.0,17645.0
01019,Cherokee,0,06,0.0,0.0,0.0,0.0,2.0,24971.0
01021,Chilton,1,01,0.0,0.0,0.0,0.0,6.0,38507.0
01023,Choctaw,0,09,0.0,0.0,0.0,0.0,1.0,12665.0
01025,Clarke,0,07,0.0,0.0,0.0,0.0,2.0,23087.0
01027,Clay,0,09,0.0,0.0,0.0,0.0,0.0,14236.0
01029,Cleburne,0,08,0.0,0.0,0.0,0.0,0.0,15056.0
01031,Coffee,2,04,0.0,0.0,0.0,0.0,10.0,25412.0
01033,Colbert,1,03,2.0,2.0,0.0,0.0,3.0,23060.0
01035,Conecuh,0,07,0.0,0.0,0.0,0.0,1.0,11597.0
01037,Coosa,2,08,0.0,0.0,0.0,0.0,0.0,10387.0
01039,Covington,0,06,0.0,0.0,0.0,0.0,6.0,25854.0
01041,Crenshaw,0,08,0.0,0.0,0.0,0.0,1.0,13194.0
01043,Cullman,2,04,1.0,1.0,0.0,0.0,14.0,66426.0
01045,Dale,2,04,1.0,1.0,0.0,0.0,11.0,24886.0
01047,Dallas,2,04,2.0,2.0,0.0,0.0,5.0,17255.0
01049,DeKalb,2,06,0.0,0.0,0.0,0.0,11.0,63228.0
01051,Elmore,1,02,0.0,0.0,0.0,0.0,4.0,62672.0
01053,Escambia,2,06,0.0,0.0,0.0,0.0,4.0,23996.0
01055,Etowah,1,03,7.0,7.0,0.0,0.0,16.0,44653.0
01057,Fayette,0,06,0.0,0.0,0.0,0.0,4.0,16321.0
01059,Franklin,0,06,0.0,0.0,0.0,0.0,6.0,22174.0
01061,Geneva,1,03,0.0,0.0,0.0,0.0,0.0,26510.0
01063,Greene,1,08,1.0,1.0,0.0,0.0,0.0,7730.0
01065,Hale,1,03,0.0,0.0,0.0,0.0,0.0,14785.0
01067,Henry,1,03,0.0,0.0,0.0,0.0,1.0,17146.0
01069,Houston,1,03,20.0,20.0,0.0,0.0,27.0,36788.0
01071,Jackson,2,06,0.0,0.0,0.0,0.0,8.0,39597.0
01073,Jefferson,1,01,94.0,94.0,23.0,0.0,234.0,81445.0
01075,Lamar,0,08,0.0,0.0,0.0,0.0,1.0,13972.0
01077,Lauderdale,1,03,4.0,4.0,0.0,0.0,12.0,48806.0
01079,Lawrence,1,03,0.0,0.0,0.0,0.0,0.0,33071.0
01081,Lee,1,03,3.0,3.0,0.0,0.0,15.0,45982.0
01083,Limestone,1,02,1.0,1.0,0.0,0.0,12.0,52834.0
01085,Lowndes,1,02,0.0,0.0,0.0,0.0,0.0,10311.0
01087,Macon,0,06,0.0,0.0,0.0,0.0,3.0,10529.0
01089,Madison,1,02,21.0,21.0,0.0,0.0,75.0,66383.0
01091,Marengo,0,07,0.0,0.0,0.0,0.0,2.0,13096.0
01093,Marion,0,07,0.0,0.0,0.0,0.0,4.0,29341.0
01095,Marshall,2,04,0.0,0.0,0.0,0.0,23.0,52370.0
01097,Mobile,1,02,29.0,29.0,3.0,0.0,43.0,92902.0
01099,Monroe,0,07,0.0,0.0,0.0,0.0,1.0,15488.0
01101,Montgomery,1,02,13.0,13.0,0.0,0.0,37.0,28308.0
01103,Morgan,1,03,2.0,2.0,0.0,0.0,14.0,47440.0
01105,Perry,0,08,0.0,0.0,0.0,0.0,0.0,8511.0
01107,Pickens,1,03,0.0,0.0,0.0,0.0,2.0,19123.0
01109,Pike,2,06,1.0,1.0,0.0,0.0,8.0,18543.0
01111,Randolph,0,06,0.0,0.0,0.0,0.0,0.0,21967.0
01113,Russell,1,02,0.0,0.0,0.0,0.0,3.0,23881.0
01115,St. Clair,1,01,0.0,0.0,0.0,0.0,10.0,61140.0
01117,Shelby,1,01,8.0,8.0,2.0,0.0,44.0,53453.0
01119,Sumter,0,08,0.0,0.0,0.0,0.0,0.0,12345.0
01121,Talladega,2,04,1.0,1.0,0.0,0.0,13.0,48205.0
01123,Tallapoosa,2,06,1.0,1.0,0.0,0.0,5.0,32391.0
01125,Tuscaloosa,1,03,7.0,7.0,0.0,0.0,36.0,70586.0
01127,Walker,2,01,4.0,4.0,0.0,0.0,8.0,52068.0
01129,Washington,1,08,0.0,0.0,0.0,0.0,0.0,15388.0
01131,Wilcox,0,09,0.0,0.0,0.0,0.0,0.0,10600.0
01133,Winston,0,06,0.0,0.0,0.0,0.0,2.0,23540.0
02013,Aleutians East (B),0,09,0.0,0.0,0.0,0.0,0.0,3420.0
02016,Aleutians West (CA),0,09,0.0,0.0,0.0,0.0,0.0,5232.0
02020,Anchorage (B),1,02,20.0,20.0,0.0,0.0,90.0,12434.0
02050,Bethel (CA),0,07,0.0,0.0,0.0,0.0,7.0,13569.0
02060,Bristol Bay (B),0,09,0.0,0.0,0.0,0.0,0.0,844.0
02063,Chugach (CA),,,0.0,0.0,0.0,0.0,0.0,7102.0
02066,Copper River (CA),,,0.0,0.0,0.0,0.0,0.0,2617.0
02068,Denali (B),0,08,0.0,0.0,0.0,0.0,0.0,1619.0
02070,Dillingham (CA),0,09,0.0,0.0,0.0,0.0,1.0,4857.0
02090,Fairbanks North Star (B),1,03,4.0,4.0,0.0,0.0,31.0,24259.0
02100,Haines (B),0,09,0.0,0.0,0.0,0.0,0.0,2080.0
02105,Hoonah-Angoon (CA),0,09,0.0,0.0,0.0,0.0,0.0,2365.0
02110,Juneau (B),2,05,1.0,1.0,0.0,0.0,12.0,7499.0
02122,Kenai Peninsula (B),0,07,1.0,1.0,0.0,0.0,15.0,45511.0
02130,Ketchikan Gateway (B),2,07,0.0,0.0,0.0,0.0,2.0,1973.0
02150,Kodiak Island (B),0,07,0.0,0.0,0.0,0.0,3.0,3571.0
02158,Kusilvak (CA),0,09,0.0,0.0,0.0,0.0,0.0,8368.0
02164,Lake and Peninsula (B),0,09,0.0,0.0,0.0,0.0,0.0,1476.0
