fips,county,state,pop2020,pw_lat,pw_lon,land_area_sqmi
01001,Autauga,Alabama,58805,32.500194,-86.487813,594.4560818852563
01003,Baldwin,Alabama,231767,30.537396,-87.761478,1589.836068398013
01005,Barbour,Alabama,25223,31.843981,-85.301306,885.0079813686867
01007,Bibb,Alabama,22293,33.032236,-87.136826,622.4695436922295
01009,Blount,Alabama,59134,33.954604,-86.592667,644.8906400578032
01011,Bullock,Alabama,10357,32.115838,-85.702354,622.8150085986302
01013,Butler,Alabama,19051,31.776019,-86.6524,776.8385261042763
01015,Calhoun,Alabama,116441,33.727215,-85.817974,605.8893166115732
01017,Chambers,Alabama,34772,32.85644,-85.25964,596.5608857563443
01019,Cherokee,Alabama,24971,34.180501,-85.629887,553.5241047882648
01021,Chilton,Alabama,45014,32.879146,-86.688861,692.8367076557738
01023,Choctaw,Alabama,12665,32.016121,-88.262482,913.4791282883534
01025,Clarke,Alabama,23087,31.683493,-87.815868,1238.4203902773902
01027,Clay,Alabama,14236,33.274342,-85.817245,603.9623965686854
01029,Cleburne,Alabama,15056,33.625217,-85.495748,560.1054489010762
01031,Coffee,Alabama,53465,31.353217,-85.899556,678.9861008280845
01033,Colbert,Alabama,57227,34.724339,-87.681892,592.9534054887997
01035,Conecuh,Alabama,11597,31.41643,-86.997537,850.2793412437712
01037,Coosa,Alabama,10387,32.976884,-86.156212,650.9091514709695
01039,Covington,Alabama,37570,31.284146,-86.409203,1030.5706530830369
01041,Crenshaw,Alabama,13194,31.747324,-86.296787,608.8648657927623
01043,Cullman,Alabama,87866,34.162652,-86.83269,734.7392699034438
01045,Dale,Alabama,49326,31.383858,-85.63771,561.1130639514789
01047,Dallas,Alabama,38462,32.411818,-87.035342,978.7379325073427
01049,DeKalb,Alabama,71608,34.452725,-85.817465,777.0770275852734
01051,Elmore,Alabama,87977,32.558527,-86.225332,618.5146942624382
01053,Escambia,Alabama,36757,31.085439,-87.280078,945.4078771813358
01055,Etowah,Alabama,103436,34.012182,-86.025892,535.1054557543896
01057,Fayette,Alabama,16321,33.726912,-87.76749,627.6836745787223
01059,Franklin,Alabama,32113,34.463509,-87.793592,633.9201719346889
01061,Geneva,Alabama,26659,31.094511,-85.781426,574.4846573832341
01063,Greene,Alabama,7730,32.833838,-87.924522,647.0230695383385
01065,Hale,Alabama,14785,32.783251,-87.627964,643.9900818695264
01067,Henry,Alabama,17146,31.469275,-85.271132,561.763058441222
01069,Houston,Alabama,107202,31.204793,-85.39632,579.8259197413845
01071,Jackson,Alabama,52579,34.727289,-85.943552,1078.0144677961475
01073,Jefferson,Alabama,674721,33.517206,-86.811606,1111.531101198762
01075,Lamar,Alabama,13972,33.761275,-88.108771,604.8462836379585
01077,Lauderdale,Alabama,93564,34.865524,-87.608858,668.0148222765393
01079,Lawrence,Alabama,33073,34.540863,-87.27158,690.6843861920278
01081,Lee,Alabama,174241,32.592265,-85.359778,607.542101033043
01083,Limestone,Alabama,103570,34.803982,-86.922366,559.9629791350665
01085,Lowndes,Alabama,10311,32.164241,-86.615186,716.0850688229608
01087,Macon,Alabama,19532,32.429073,-85.711764,608.6651857255051
01089,Madison,Alabama,388153,34.742996,-86.61533,801.6012737602877
01091,Marengo,Alabama,19323,32.342372,-87.803475,976.898359583589
01093,Marion,Alabama,29341,34.110448,-87.876476,742.3431997917551
01095,Marshall,Alabama,97612,34.311249,-86.291329,565.8450042073746
01097,Mobile,Alabama,414809,30.684049,-88.175178,1229.374038323288
01099,Monroe,Alabama,19772,31.4988,-87.364576,1025.6686745948034
01101,Montgomery,Alabama,228954,32.346473,-86.233787,785.354706512533
01103,Morgan,Alabama,123421,34.513887,-86.931981,579.6688912212805
01105,Perry,Alabama,8511,32.584881,-87.369738,719.6697902987671
01107,Pickens,Alabama,19123,33.284667,-88.074381,881.4075362685738
01109,Pike,Alabama,33009,31.786041,-85.946994,672.0669343149997
01111,Randolph,Alabama,21967,33.264692,-85.427378,580.5502937231631
01113,Russell,Alabama,59183,32.414904,-85.054594,641.1815126054768
01115,St. Clair,Alabama,91103,33.660943,-86.374875,631.5703565141077
01117,Shelby,Alabama,223024,33.290336,-86.73899,785.4395760141155
01119,Sumter,Alabama,12345,32.571003,-88.230925,903.8261233562189
01121,Talladega,Alabama,82149,33.376936,-86.165876,736.8167315640688
01123,Tallapoosa,Alabama,41311,32.851728,-85.864016,716.5276144839137
01125,Tuscaloosa,Alabama,227036,33.214817,-87.518474,1320.8480779473541
01127,Walker,Alabama,65342,33.834217,-87.250515,791.0297700169751
01129,Washington,Alabama,15388,31.413666,-88.195263,1080.2030087311869
01131,Wilcox,Alabama,10600,32.007448,-87.376912,887.8575736009847
01133,Winston,Alabama,23540,34.164369,-87.415624,612.9979762725629
02013,Aleutians East,Alaska,3420,54.672887,-163.763729,6985.233817540576
02016,Aleutians West,Alaska,5232,54.024627,-168.148047,4393.02596837018
02020,Anchorage,Alaska,291247,61.191547,-149.792287,1706.8858316110186
02050,Bethel,Alaska,18666,60.667568,-162.178288,40627.13800025901
02060,Bristol Bay,Alaska,844,58.733456,-156.833611,481.97743077669963
02063,Chugach,Alaska,7102,60.881369,-146.199156,9529.838482154268
02066,Copper River,Alaska,2617,62.060769,-145.032939,24692.134819105406
02068,Denali,Alaska,1619,63.86431,-149.027498,12641.04860388722
02070,Dillingham,Alaska,4857,59.128804,-158.75132,18333.993525939393
02090,Fairbanks North Star,Alaska,95655,64.831239,-147.623249,7334.821622405055
02100,Haines,Alaska,2080,59.234185,-135.497336,2343.3925937984327
02105,Hoonah-Angoon,Alaska,2365,58.123876,-135.423534,6555.257701163733
02110,Juneau,Alaska,32255,58.360173,-134.533023,2704.030496881316
02122,Kenai Peninsula,Alaska,58799,60.283998,-151.068103,16017.4222537261
02130,Ketchikan Gateway,Alaska,13948,55.369105,-131.678418,4856.9295516958955
02150,Kodiak Island,Alaska,13101,57.774607,-152.454785,6689.394442818504
02158,Kusilvak,Alaska,8368,62.076819,-164.34049,17077.062427132147
02164,Lake and Peninsula,Alaska,1476,58.617154,-156.27339,23831.833237257604
02170,Matanuska-Susitna,Alaska,107081,61.607247,-149.432649,24706.983463333352
02180,Nome,Alaska,10046,64.431631,-165.269108,22969.462323130127
