fips,state,mcr_benes,mcr_avg_age,dual_pct,imaging_p1k,em_p1k,tests_p1k,uninsured,mammography,flu_vax,prevent_hosp,chr_diabetes,pcp_ratio,median_income,pct_rural,long_commute,broadband,state_abb,medicaid_expansion
01001,Alabama,11972,71,0.0976,4328.5309,13024.4488,6921.6328,0.1004731422,0.39,0.42,6650,0.127,4.676175e-4,58233,0.4200216232,0.383,0.8056736926,AL,no
01003,Alabama,60256,73,0.0644,4480.839,13363.9989,6117.7573,0.1316898257,0.43,0.46,3471,0.103,7.01764e-4,59871,0.4227909911,0.404,0.8181638453,AL,no
01005,Alabama,6490,71,0.2232,4183.7081,12310.14,6485.787,0.1350403367,0.44,0.39,5314,0.175,3.215305e-4,35972,0.677896347,0.309,0.6052434457,AL,no
01007,Alabama,4935,70,0.2237,4024.0811,11309.2522,5280.1014,0.1059905065,0.33,0.4,6690,0.136,5.357143e-4,47918,0.6835260746,0.52,0.69206211,AL,no
01009,Alabama,13855,72,0.1298,4156.1265,11720.9047,6006.8072,0.1411599685,0.37,0.4,4440,0.146,2.074689e-4,52902,0.8995150204,0.579,0.7300810668,AL,no
01011,Alabama,2398,70,0.3094,3531.2085,10815.405,4209.8274,0.1187354312,0.32,0.29,5645,0.295,2.959164e-4,31906,0.5137438153,0.473,0.6009656348,AL,no
01013,Alabama,5186,71,0.281,3878.1186,10912.4744,5324.7444,0.1190183255,0.39,0.35,8070,0.195,2.54065e-4,39944,0.7123215735,0.306,0.6458653551,AL,no
01015,Alabama,28324,71,0.1623,4445.9161,14212.0677,7265.1214,0.1110382943,0.33,0.4,5879,0.17,6.387987e-4,47747,0.3369682556,0.309,0.7514628405,AL,no
01017,Alabama,9213,70,0.2517,3551.8308,11941.4647,4089.737,0.1161052908,0.36,0.43,5784,0.184,4.164807e-4,42015,0.4914803449,0.296,0.6942296252,AL,no
01019,Alabama,7784,70,0.2191,4457.0475,12603.5585,7035.0292,0.1348280716,0.35,0.5,5178,0.157,3.841426e-4,45982,0.8573627304,0.458,0.7072739126,AL,no
01021,Alabama,10240,71,0.1469,4613.3475,14168.4322,7862.2881,0.16340589689999999,0.38,0.42,3869,0.19,2.264852e-4,49692,0.8674472424,0.505,0.6870089207,AL,no
01023,Alabama,3975,71,0.2631,3907.1193,10138.6139,6251.768,0.1348946615,0.48,0.34,5039,0.179,3.893778e-4,39808,1,0.461,0.6130188679,AL,no
01025,Alabama,6640,71,0.2,4302.0921,10830.5439,4698.3264,0.1255693253,0.36,0.3,5206,0.248,5.434783e-4,43822,0.7598033523,0.4,0.5749174917,AL,no
01027,Alabama,3800,72,0.2016,3812.1099,12068.04,6019.3508,0.1593937053,0.36,0.44,6054,0.162,3.766478e-4,40562,1,0.39,0.7010388611,AL,no
01029,Alabama,3734,72,0.2114,3879.6883,12053.5801,6878.227,0.1359752011,0.27,0.41,4838,0.139,2.001735e-4,51276,1,0.545,0.6433098592,AL,no
01031,Alabama,11540,72,0.1418,4466.7415,13449.9118,6586.7928,0.125230762,0.4,0.38,4561,0.159,4.623476e-4,57299,0.4719508289,0.28,0.8003914877,AL,no
01033,Alabama,15012,72,0.1672,5160.5517,15123.9957,6962.105,0.1132785606,0.4,0.47,6521,0.167,6.391293e-4,46683,0.4389468656,0.286,0.7008683729,AL,no
01035,Alabama,3693,70,0.2992,3898.6667,12053.8667,5040.5333,0.1248126739,0.35,0.45,12212,0.24,4.072656e-4,41539,0.8094950106,0.37,0.5269053371,AL,no
01037,Alabama,3259,71,0.1839,4285.9351,11727.9753,6078.0526,0.1257364924,0.36,0.42,4737,0.256,NA,42024,1,0.401,0.6946924603,AL,no
01039,Alabama,10505,72,0.2249,4490.3368,13737.714,6509.295,0.1221067221,0.4,0.4,9451,0.167,4.866706e-4,44836,0.6965179399,0.28,0.7067061675,AL,no
01041,Alabama,3610,71,0.2391,4125.2512,11326.8587,5990.6229,0.1278860029,0.41,0.4,7005,0.198,1.446759e-4,43309,1,0.449,0.6512239531,AL,no
