name,address,city,state,zip,accred_year,query,prog_id,lon,lat,fips,matched,fips_pip,county_fips,source_query,geocode_source
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,701 19th Street South,Birmingham,AL,35294,2000,"701 19th Street South, Birmingham, AL 35294",1,-86.801184566859,33.505171793438,01073,"701 19TH ST S, BIRMINGHAM, AL, 35233",01073,01073,NA,census geocoder
University of Arkansas for Medical Sciences College of Medicine,4301 W Markham St,Little Rock,AR,72205,1997,"4301 W Markham St, Little Rock, AR 72205",2,-92.320554998366,34.751505208025,05119,"4301 W MARKHAM ST, LITTLE ROCK, AR, 72205",05119,05119,NA,census geocoder
University of Arizona College of Medicine - Tucson,1501 N Campbell Ave,Tucson,AZ,85711,1998,"1501 N Campbell Ave, Tucson, AZ 85711",3,-110.944048262971,32.240706229202,04019,"1501 N CAMPBELL AVE, TUCSON, AZ, 85724",04019,04019,NA,census geocoder
"University of California, Davis School of Medicine",4610 X Street,Davis,CA,95817,1996,"4610 X Street, Davis, CA 95817",4,-121.452205523436,38.553413965305,06067,"4610 X ST, SACRAMENTO, CA, 95817",06067,06067,NA,census geocoder
"University of California, Irvine School of Medicine",836 Health Sciences Road,Irvine,CA,92617,1997,"836 Health Sciences Road, Irvine, CA 92617",5,-117.8503227,33.6404275,NA,NA,06059,06059,NA,nominatim (name + city)
Loma Linda University School of Medicine,11175 Campus Street,Loma Linda,CA,92354,1996,"11175 Campus Street, Loma Linda, CA 92354",6,-117.265639326392,34.051171854818,06071,"11175 CAMPUS ST, LOMA LINDA, CA, 92354",06071,06071,NA,census geocoder
David Geffen School of Medicine at UCLA,885 Tiverton Drive,Los Angeles,CA,90095,1997,"885 Tiverton Drive, Los Angeles, CA 90095",7,-118.4417817,34.0655461,NA,NA,06037,06037,NA,nominatim (name + city)
Keck School of Medicine of the University of Southern California,1975 Zonal Avenue,Los Angeles,CA,90033,1998,"1975 Zonal Avenue, Los Angeles, CA 90033",8,-118.20693893497,34.060520404403,06037,"1975 ZONAL AVE, LOS ANGELES, CA, 90033",06037,06037,NA,census geocoder
Stanford University School of Medicine,291 Campus Drive,Palo Alto,CA,94303,1996,"291 Campus Drive, Palo Alto, CA 94303",9,-122.17554,37.43269,NA,NA,NA,06085,"300 Pasteur Drive, Stanford, CA 94305","manual (Nominatim, facility query)"
"University of California, San Diego School of Medicine",9500 Gilman Drive,San Diego,CA,92093,2000,"9500 Gilman Drive, San Diego, CA 92093",10,-117.2384327,32.8767945,NA,NA,06073,06073,NA,nominatim (name + city)
"University of California, San Francisco School of Medicine",513 Parnassus Street,San Francisco,CA,94143,1997,"513 Parnassus Street, San Francisco, CA 94143",11,-122.4574,37.76307,NA,NA,NA,06075,"505 Parnassus Avenue, San Francisco, CA 94143","manual (Nominatim, facility query)"
University of Colorado School of Medicine,13001 East 17th Place,Aurora,CO,80045,1996,"13001 East 17th Place, Aurora, CO 80045",12,-104.837509481732,39.743547300939,08001,"13001 E 17TH AVE, AURORA, CO, 80045",08001,08001,NA,census geocoder
Yale School of Medicine,333 Cedar Street,New Haven,CT,06510,1999,"333 Cedar Street, New Haven, CT 06510",13,-72.933561816799,41.302105373647,09009,"333 CEDAR ST, NEW HAVEN, CT, 06519",09009,09009,NA,census geocoder
George Washington University School of Medicine and Health Sciences,2300 I Street NW,Washington,DC,20037,2000,"2300 I Street NW, Washington, DC 20037",14,-77.050200165801,38.900643411562,11001,"2300 I ST NW, WASHINGTON, DC, 20037",11001,11001,NA,census geocoder
Georgetown University School of Medicine,3900 Reservoir Road NW,Washington,DC,20007,1999,"3900 Reservoir Road NW, Washington, DC 20007",15,-77.076116326954,38.912577917334,11001,"3900 RESERVOIR RD NW, WASHINGTON, DC, 20007",11001,11001,NA,census geocoder
Howard University College of Medicine,520 W Street NW,Washington,DC,20060,1996,"520 W Street NW, Washington, DC 20060",16,-77.019430175521,38.919161786137,11001,"520 W ST NW, WASHINGTON, DC, 20001",11001,11001,NA,census geocoder
University of Florida College of Medicine,1600 SW Archer Road,Gainesville,FL,32209,1998,"1600 SW Archer Road, Gainesville, FL 32209",17,-82.342643671529,29.639538118411,12001,"1600 SW ARCHER RD, GAINESVILLE, FL, 32610",12001,12001,NA,census geocoder
University of Miami Leonard M. Miller School of Medicine,1600 NW 10th Avenue,Miami,FL,33136,1999,"1600 NW 10th Avenue, Miami, FL 33136",18,-80.2121902,25.7903512,NA,NA,12086,12086,NA,nominatim (name + city)
USF Health Morsani College of Medicine,560 Channelside Dr,Tampa,FL,33602,2000,"560 Channelside Dr, Tampa, FL 33602",19,-82.450748644126,27.943588751527,12057,"560 CHANNELSIDE DR, TAMPA, FL, 33602",12057,12057,NA,census geocoder
Emory University School of Medicine,100 Woodruff Circle,Atlanta,GA,30322,1996,"100 Woodruff Circle, Atlanta, GA 30322",20,-84.3221796,33.7936353,NA,NA,13089,13089,NA,nominatim (name + city)
Medical College of Georgia at Augusta University,1460 Laney Walker Blvd,Augusta,GA,30912,1997,"1460 Laney Walker Blvd, Augusta, GA 30912",21,-81.987260022403,33.468515176786,13245,"1460 LANEY WALKER BLVD, AUGUSTA, GA, 30912",13245,13245,NA,census geocoder
University of Iowa Roy J. and Lucille A. Carver College of Medicine,451 Newton Road,Iowa City,IA,52242,2000,"451 Newton Road, Iowa City, IA 52242",22,-91.549302660497,41.662503432684,19103,"451 NEWTON RD, IOWA CITY, IA, 52242",19103,19103,NA,census geocoder
Northwestern University Feinberg School of Medicine,420 East Superior Street,Chicago,IL,60611,2000,"420 East Superior Street, Chicago, IL 60611",23,-87.619702123989,41.895866747741,17031,"420 E SUPERIOR ST, CHICAGO, IL, 60611",17031,17031,NA,census geocoder
Rush Medical College of Rush University Medical Center,600 S Paulina St,Chicago,IL,60612,1998,"600 S Paulina St, Chicago, IL 60612",24,-87.669161953829,41.873311750957,17031,"600 S PAULINA ST, CHICAGO, IL, 60612",17031,17031,NA,census geocoder
"University of Chicago Division of the Biological Sciences, The Pritzker School of Medicine",924 E 57th Street,Chicago,IL,60637,1996,"924 E 57th Street, Chicago, IL 60637",25,-87.603110615294,41.791431089825,17031,"924 E 57TH ST, CHICAGO, IL, 60637",17031,17031,NA,census geocoder
University of Illinois College of Medicine,808 S Wood Street,Chicago,IL,60612,1997,"808 S Wood Street, Chicago, IL 60612",26,-87.671559896989,41.871397973474,17031,"808 S WOOD ST, CHICAGO, IL, 60608",17031,17031,NA,census geocoder
Loyola University Chicago Stritch School of Medicine,2160 S First Ave,Maywood,IL,60153,1999,"2160 S First Ave, Maywood, IL 60153",27,-87.833456941704,41.865168513864,17031,"2160 S 1ST AVE, MAYWOOD, IL, 60153",17031,17031,NA,census geocoder
Indiana University School of Medicine,635 Barnhill Drive,Indianapolis,IN,46202,1996,"635 Barnhill Drive, Indianapolis, IN 46202",28,-86.178535041412,39.775666823927,18097,"635 BARNHILL DR, INDIANAPOLIS, IN, 46202",18097,18097,NA,census geocoder
University of Kansas School of Medicine,3901 Rainbow Boulevard,Kansas City,KS,66208,1998,"3901 Rainbow Boulevard, Kansas City, KS 66208",29,-94.611683257058,39.057323865487,20209,"3901 RAINBOW BLVD, KANSAS CITY, KS, 66103",20209,20209,NA,census geocoder
University of Kentucky College of Medicine,780 Rose St MN 150,Lexington,KY,40506,1995,"780 Rose St MN 150, Lexington, KY 40506",30,-84.505852000502,38.033447162722,21067,"780 ROSE ST, LEXINGTON, KY, 40506",21067,21067,NA,census geocoder
University of Louisville School of Medicine,500 South Preston Street,Louisville,KY,40202,1997,"500 South Preston Street, Louisville, KY 40202",31,-85.746893098771,38.249925509729,21111,"500 S PRESTON ST, LOUISVILLE, KY, 40202",21111,21111,NA,census geocoder
LSU Health Sciences Center School of Medicine in New Orleans,433 Bolivar Street,New Orleans,LA,70115,1997,"433 Bolivar Street, New Orleans, LA 70115",32,-90.082886931203,29.957690574316,22071,"433 BOLIVAR ST, NEW ORLEANS, LA, 70112",22071,22071,NA,census geocoder
Tulane University School of Medicine,1430 Tulane Avenue,New Orleans,LA,70112,1999,"1430 Tulane Avenue, New Orleans, LA 70112",33,-90.076593779999,29.955292391434,22071,"1430 TULANE AVE, NEW ORLEANS, LA, 70112",22071,22071,NA,census geocoder
Louisiana State University School of Medicine in Shreveport,1501 Kings Highway,Shreveport,LA,71103,2000,"1501 Kings Highway, Shreveport, LA 71103",34,-93.760827980994,32.481684611825,22017,"1501 KINGS HWY, SHREVEPORT, LA, 71103",22017,22017,NA,census geocoder
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,72 East Concord Street,Boston,MA,02118,1999,"72 East Concord Street, Boston, MA 02118",35,-71.073105910369,42.336446539018,25025,"72 E CONCORD ST, BOSTON, MA, 02118",25025,25025,NA,census geocoder
