fips,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing
01001,0.513,0.3838,0.7362,0.6337,0.4309
01003,0.3103,0.3253,0.2724,0.5022,0.3612
01005,0.9927,0.9567,0.9453,0.8962,0.9949
01007,0.8078,0.8008,0.5512,0.6292,0.8622
01009,0.5137,0.5757,0.7225,0.4147,0.2743
01011,0.831,0.7183,0.6515,0.9809,0.8501
01013,0.6843,0.7486,0.6887,0.8686,0.2982
01015,0.7349,0.7533,0.7279,0.6582,0.5197
01017,0.8074,0.5837,0.5955,0.8421,0.9599
01019,0.3269,0.5029,0.4096,0.2778,0.1792
01021,0.7222,0.7295,0.9176,0.5519,0.3463
01023,0.7116,0.6766,0.8475,0.8256,0.3526
01025,0.8552,0.8864,0.6859,0.8631,0.6795
01027,0.5309,0.5856,0.6738,0.5423,0.2817
01029,0.4542,0.5439,0.6289,0.2202,0.2979
01031,0.6489,0.6041,0.9055,0.6862,0.2813
01033,0.3475,0.4647,0.6346,0.577,0.0761
01035,0.6575,0.725,0.6891,0.8756,0.2683
01037,0.436,0.3065,0.3679,0.7406,0.5496
01039,0.7075,0.7514,0.677,0.4981,0.5719
01041,0.6025,0.5395,0.7995,0.6741,0.3775
01043,0.5156,0.5827,0.6534,0.2753,0.3892
01045,0.8065,0.8832,0.8835,0.7027,0.3453
01047,0.9157,0.9659,0.8176,0.971,0.5904
01049,0.7387,0.809,0.6951,0.5439,0.5232
01051,0.4564,0.3393,0.4271,0.6458,0.5532
01053,0.8708,0.93,0.7543,0.7934,0.6168
01055,0.6483,0.7043,0.8246,0.5831,0.2833
01057,0.6725,0.8205,0.4618,0.4758,0.5229
01059,0.7298,0.704,0.8463,0.606,0.4908
01061,0.5691,0.6458,0.7651,0.4949,0.2568
01063,0.9513,0.9885,0.5191,0.985,0.8908
01065,0.9351,0.9472,0.7893,0.9335,0.8269
01067,0.5646,0.6047,0.4074,0.6916,0.4669
01069,0.7021,0.7817,0.6585,0.7276,0.3927
01071,0.5528,0.6945,0.6095,0.3488,0.3262
01073,0.7562,0.6862,0.6903,0.8787,0.6267
01075,0.5519,0.4484,0.663,0.4319,0.6321
01077,0.4745,0.5306,0.2909,0.4777,0.5439
01079,0.4239,0.5605,0.4039,0.6034,0.1891
01081,0.6795,0.5907,0.1894,0.7151,0.9443
01083,0.4602,0.4074,0.4182,0.6127,0.4882
01085,0.8997,0.9628,0.8285,0.9758,0.5064
01087,0.8896,0.9118,0.3275,0.9866,0.9418
01089,0.3596,0.3046,0.359,0.7447,0.3278
01091,0.8113,0.8265,0.8428,0.8988,0.4344
01093,0.6833,0.7947,0.7212,0.2778,0.5
01095,0.6222,0.6489,0.9007,0.5407,0.2416
01097,0.7947,0.8272,0.5325,0.8253,0.6868
01099,0.7241,0.9048,0.3657,0.8517,0.3616
01101,0.9032,0.8635,0.8488,0.9526,0.7884
01103,0.6413,0.5878,0.782,0.6174,0.4433
01105,0.9137,0.9803,0.5732,0.9653,0.7314
01107,0.9379,0.8966,0.9354,0.8558,0.8256
01109,0.8059,0.7928,0.4007,0.832,0.873
01111,0.5347,0.4672,0.4679,0.6197,0.5974
01113,0.8918,0.8962,0.9214,0.8972,0.5853
01115,0.3224,0.4147,0.198,0.4411,0.3472
01117,0.1155,0.0885,0.2081,0.5882,0.1525
01119,0.9653,0.964,0.6264,0.9749,0.9729
01121,0.8768,0.8676,0.7492,0.7683,0.8074
01123,0.8927,0.8183,0.8943,0.6986,0.8838
01125,0.682,0.6595,0.268,0.7826,0.8151
01127,0.6875,0.7823,0.7778,0.3705,0.4293
01129,0.4599,0.6308,0.3724,0.733,0.1639
01131,0.9208,0.9013,0.9554,0.9723,0.6092
01133,0.6852,0.761,0.8924,0.1779,0.4252
02013,0.6442,0.4204,0.1595,0.9898,0.9577
02016,0.4959,0.2053,0.0331,0.9796,0.9955
02020,0.5761,0.3947,0.3666,0.8224,0.8008
02050,0.9542,0.9351,0.7008,0.9949,0.9602
02060,0.2314,0.1483,0.0045,0.8842,0.8832
02063,0.2352,0.1098,0.0118,0.6432,0.9262
02066,0.4179,0.3584,0.344,0.8208,0.3756
02068,0.2155,0.1836,0.0048,0.5363,0.8915
02070,0.9363,0.8727,0.775,0.9882,0.9386
02090,0.5264,0.429,0.2174,0.6986,0.8001
