fips,race,age,dr_cases,vtdr_cases,dm_pop
01001,"White, non-Hispanic",40-64 years,675,66,2261
01003,"White, non-Hispanic",40-64 years,1889,293,9448
01005,"White, non-Hispanic",40-64 years,232,40,776
01007,"White, non-Hispanic",40-64 years,325,38,968
01009,"White, non-Hispanic",40-64 years,581,74,2625
01011,"White, non-Hispanic",40-64 years,42,9,194
01013,"White, non-Hispanic",40-64 years,149,24,619
01015,"White, non-Hispanic",40-64 years,1145,173,4566
01017,"White, non-Hispanic",40-64 years,257,39,1246
01019,"White, non-Hispanic",40-64 years,264,30,1290
01021,"White, non-Hispanic",40-64 years,493,72,1929
01023,"White, non-Hispanic",40-64 years,106,22,473
01025,"White, non-Hispanic",40-64 years,153,29,742
01027,"White, non-Hispanic",40-64 years,181,25,649
01029,"White, non-Hispanic",40-64 years,181,31,713
01031,"White, non-Hispanic",40-64 years,538,68,1960
01033,"White, non-Hispanic",40-64 years,474,60,2525
01035,"White, non-Hispanic",40-64 years,74,12,400
01037,"White, non-Hispanic",40-64 years,108,15,482
01039,"White, non-Hispanic",40-64 years,372,44,1596
01041,"White, non-Hispanic",40-64 years,136,19,537
01043,"White, non-Hispanic",40-64 years,889,119,4158
01045,"White, non-Hispanic",40-64 years,438,61,1824
01047,"White, non-Hispanic",40-64 years,237,38,777
01049,"White, non-Hispanic",40-64 years,660,91,3186
01051,"White, non-Hispanic",40-64 years,697,90,3485
01053,"White, non-Hispanic",40-64 years,263,44,1309
01055,"White, non-Hispanic",40-64 years,1013,113,4411
01057,"White, non-Hispanic",40-64 years,130,22,744
01059,"White, non-Hispanic",40-64 years,382,35,1341
01061,"White, non-Hispanic",40-64 years,237,38,1222
01063,"White, non-Hispanic",40-64 years,31,5,116
01065,"White, non-Hispanic",40-64 years,91,15,391
01067,"White, non-Hispanic",40-64 years,194,28,693
01069,"White, non-Hispanic",40-64 years,859,142,3765
01071,"White, non-Hispanic",40-64 years,639,91,2510
01073,"White, non-Hispanic",40-64 years,3585,540,16737
01075,"White, non-Hispanic",40-64 years,124,22,644
01077,"White, non-Hispanic",40-64 years,730,93,3928
01079,"White, non-Hispanic",40-64 years,274,40,1560
01081,"White, non-Hispanic",40-64 years,1296,182,5445
01083,"White, non-Hispanic",40-64 years,897,141,4524
01085,"White, non-Hispanic",40-64 years,55,8,211
01087,"White, non-Hispanic",40-64 years,67,11,272
01089,"White, non-Hispanic",40-64 years,2950,454,13184
01091,"White, non-Hispanic",40-64 years,155,20,551
01093,"White, non-Hispanic",40-64 years,296,34,1444
01095,"White, non-Hispanic",40-64 years,854,128,4322
01097,"White, non-Hispanic",40-64 years,3228,518,13058
01099,"White, non-Hispanic",40-64 years,183,22,669
01101,"White, non-Hispanic",40-64 years,1028,147,4328
01103,"White, non-Hispanic",40-64 years,903,130,5228
01105,"White, non-Hispanic",40-64 years,56,7,168
01107,"White, non-Hispanic",40-64 years,170,29,686
01109,"White, non-Hispanic",40-64 years,267,29,880
01111,"White, non-Hispanic",40-64 years,194,30,990
01113,"White, non-Hispanic",40-64 years,314,49,1694
01115,"White, non-Hispanic",40-64 years,809,138,3991
01117,"White, non-Hispanic",40-64 years,1432,226,7310
01119,"White, non-Hispanic",40-64 years,53,7,174
01121,"White, non-Hispanic",40-64 years,668,116,3026
01123,"White, non-Hispanic",40-64 years,379,61,1693
01125,"White, non-Hispanic",40-64 years,1388,231,6524
01127,"White, non-Hispanic",40-64 years,548,75,3087
01129,"White, non-Hispanic",40-64 years,163,33,630
01131,"White, non-Hispanic",40-64 years,56,8,228
01133,"White, non-Hispanic",40-64 years,340,51,1291
02016,"White, non-Hispanic",40-64 years,18,3,75
02020,"White, non-Hispanic",40-64 years,1474,250,6683
02050,"White, non-Hispanic",40-64 years,20,4,104
02068,"White, non-Hispanic",40-64 years,16,2,68
02070,"White, non-Hispanic",40-64 years,8,1,41
02090,"White, non-Hispanic",40-64 years,598,98,1914
02100,"White, non-Hispanic",40-64 years,14,2,61
02105,"White, non-Hispanic",40-64 years,13,2,52
02110,"White, non-Hispanic",40-64 years,164,24,776
02122,"White, non-Hispanic",40-64 years,428,64,1738
02130,"White, non-Hispanic",40-64 years,71,11,379
02150,"White, non-Hispanic",40-64 years,56,8,215
02170,"White, non-Hispanic",40-64 years,808,114,3300
02180,"White, non-Hispanic",40-64 years,17,3,85
02185,"White, non-Hispanic",40-64 years,59,9,235
02188,"White, non-Hispanic",40-64 years,15,2,59
02195,"White, non-Hispanic",40-64 years,24,4,96
02198,"White, non-Hispanic",40-64 years,33,5,133
02220,"White, non-Hispanic",40-64 years,43,8,206
02230,"White, non-Hispanic",40-64 years,7,1,38
02240,"White, non-Hispanic",40-64 years,48,8,192
02261,"White, non-Hispanic",40-64 years,70,10,279
02275,"White, non-Hispanic",40-64 years,14,2,58
02290,"White, non-Hispanic",40-64 years,11,2,53
04001,"White, non-Hispanic",40-64 years,295,44,849
04003,"White, non-Hispanic",40-64 years,576,101,3079
04005,"White, non-Hispanic",40-64 years,779,115,3118
04007,"White, non-Hispanic",40-64 years,423,62,1714
04009,"White, non-Hispanic",40-64 years,205,28,934
04011,"White, non-Hispanic",40-64 years,51,7,197
04012,"White, non-Hispanic",40-64 years,87,13,387
04013,"White, non-Hispanic",40-64 years,24328,3848,111960
04015,"White, non-Hispanic",40-64 years,1334,210,7983
04017,"White, non-Hispanic",40-64 years,763,129,2612
04019,"White, non-Hispanic",40-64 years,4828,770,22246
04021,"White, non-Hispanic",40-64 years,3366,532,12654
04023,"White, non-Hispanic",40-64 years,110,21,398
04025,"White, non-Hispanic",40-64 years,1796,268,8110
04027,"White, non-Hispanic",40-64 years,533,82,2577
05001,"White, non-Hispanic",40-64 years,169,23,639
05003,"White, non-Hispanic",40-64 years,256,40,702
05005,"White, non-Hispanic",40-64 years,437,42,1700
05007,"White, non-Hispanic",40-64 years,2070,341,9359
05009,"White, non-Hispanic",40-64 years,431,39,1596
05011,"White, non-Hispanic",40-64 years,108,19,329
05013,"White, non-Hispanic",40-64 years,48,11,208
05015,"White, non-Hispanic",40-64 years,271,34,1089
05017,"White, non-Hispanic",40-64 years,92,11,276
05019,"White, non-Hispanic",40-64 years,126,26,636
05021,"White, non-Hispanic",40-64 years,170,25,681
05023,"White, non-Hispanic",40-64 years,269,35,1153
05025,"White, non-Hispanic",40-64 years,94,14,337
05027,"White, non-Hispanic",40-64 years,169,32,631
05029,"White, non-Hispanic",40-64 years,195,31,887
05031,"White, non-Hispanic",40-64 years,860,109,3646
05033,"White, non-Hispanic",40-64 years,473,86,2571
05035,"White, non-Hispanic",40-64 years,309,55,1295
05037,"White, non-Hispanic",40-64 years,204,29,650
05039,"White, non-Hispanic",40-64 years,57,12,204
05041,"White, non-Hispanic",40-64 years,85,11,306
05043,"White, non-Hispanic",40-64 years,181,34,569
05045,"White, non-Hispanic",40-64 years,1253,166,4289
05047,"White, non-Hispanic",40-64 years,166,30,750
05049,"White, non-Hispanic",40-64 years,134,17,555
05051,"White, non-Hispanic",40-64 years,798,125,4035
05053,"White, non-Hispanic",40-64 years,227,26,776
05055,"White, non-Hispanic",40-64 years,709,64,2083
05057,"White, non-Hispanic",40-64 years,150,26,653
05059,"White, non-Hispanic",40-64 years,297,51,1431
05061,"White, non-Hispanic",40-64 years,98,16,428
05063,"White, non-Hispanic",40-64 years,422,62,1499
05065,"White, non-Hispanic",40-64 years,141,20,681
05067,"White, non-Hispanic",40-64 years,148,22,733
05069,"White, non-Hispanic",40-64 years,423,65,1668
05071,"White, non-Hispanic",40-64 years,274,31,1001
05073,"White, non-Hispanic",40-64 years,46,7,245
05075,"White, non-Hispanic",40-64 years,142,17,751
05077,"White, non-Hispanic",40-64 years,57,8,272
05079,"White, non-Hispanic",40-64 years,163,24,516
05081,"White, non-Hispanic",40-64 years,114,23,467
05083,"White, non-Hispanic",40-64 years,240,35,1029
05085,"White, non-Hispanic",40-64 years,741,101,3048
05087,"White, non-Hispanic",40-64 years,231,29,777
05089,"White, non-Hispanic",40-64 years,237,23,828
05091,"White, non-Hispanic",40-64 years,401,69,1610
05093,"White, non-Hispanic",40-64 years,514,66,1410
05095,"White, non-Hispanic",40-64 years,45,7,241
05097,"White, non-Hispanic",40-64 years,73,13,430
05099,"White, non-Hispanic",40-64 years,61,9,304
05101,"White, non-Hispanic",40-64 years,105,10,346
05103,"White, non-Hispanic",40-64 years,207,33,716
05105,"White, non-Hispanic",40-64 years,127,16,474
05107,"White, non-Hispanic",40-64 years,107,21,398
05109,"White, non-Hispanic",40-64 years,111,17,454
05111,"White, non-Hispanic",40-64 years,204,28,1054
05113,"White, non-Hispanic",40-64 years,223,30,843
05115,"White, non-Hispanic",40-64 years,816,71,2347
05117,"White, non-Hispanic",40-64 years,89,14,385
05119,"White, non-Hispanic",40-64 years,2455,396,10117
05121,"White, non-Hispanic",40-64 years,168,22,771
05123,"White, non-Hispanic",40-64 years,215,31,647
05125,"White, non-Hispanic",40-64 years,1477,191,4667
05127,"White, non-Hispanic",40-64 years,102,13,440
05129,"White, non-Hispanic",40-64 years,110,12,386
05131,"White, non-Hispanic",40-64 years,892,129,4388
05133,"White, non-Hispanic",40-64 years,147,27,524
05135,"White, non-Hispanic",40-64 years,199,24,830
05137,"White, non-Hispanic",40-64 years,166,25,587
05139,"White, non-Hispanic",40-64 years,263,55,1211
05141,"White, non-Hispanic",40-64 years,187,24,779
05143,"White, non-Hispanic",40-64 years,1501,250,7084
05145,"White, non-Hispanic",40-64 years,648,92,3196
05147,"White, non-Hispanic",40-64 years,59,11,252
05149,"White, non-Hispanic",40-64 years,297,31,819
06001,"White, non-Hispanic",40-64 years,6197,922,24329
06003,"White, non-Hispanic",40-64 years,11,2,40
06005,"White, non-Hispanic",40-64 years,308,43,1415
06007,"White, non-Hispanic",40-64 years,1149,173,5671
06009,"White, non-Hispanic",40-64 years,350,51,1633
06011,"White, non-Hispanic",40-64 years,113,21,391
06013,"White, non-Hispanic",40-64 years,5039,876,22612
06015,"White, non-Hispanic",40-64 years,177,33,863
06017,"White, non-Hispanic",40-64 years,1276,218,6253
06019,"White, non-Hispanic",40-64 years,3128,552,15810
06021,"White, non-Hispanic",40-64 years,164,27,685
06023,"White, non-Hispanic",40-64 years,746,124,4124
06025,"White, non-Hispanic",40-64 years,444,69,1138
06027,"White, non-Hispanic",40-64 years,95,20,532
06029,"White, non-Hispanic",40-64 years,4373,711,16038
06031,"White, non-Hispanic",40-64 years,585,89,2507
06033,"White, non-Hispanic",40-64 years,798,93,2315
06035,"White, non-Hispanic",40-64 years,183,31,967
06037,"White, non-Hispanic",40-64 years,36659,6239,143235
06039,"White, non-Hispanic",40-64 years,781,148,2934
06041,"White, non-Hispanic",40-64 years,1645,203,6874
06043,"White, non-Hispanic",40-64 years,115,21,614
06045,"White, non-Hispanic",40-64 years,515,101,2605
06047,"White, non-Hispanic",40-64 years,1416,233,4324
06049,"White, non-Hispanic",40-64 years,62,8,292
06051,"White, non-Hispanic",40-64 years,69,11,414
06053,"White, non-Hispanic",40-64 years,1887,356,6507
06055,"White, non-Hispanic",40-64 years,776,144,3015
