model,term,beta,se,p,or,disp
M1 VTDR share,z_log_drive,-0.048619945558598165,0.002029234504794961,1.3818108267827878e-116,0.9525430791417558,24.07782250886196
M2 VTDR share,z_log_drive,-0.040775369444186124,0.002840696739796055,2.72058695902989e-45,0.9600447611165134,22.210116242123885
M2 VTDR share,z_ophth,-0.01322882010794322,0.004664444059293035,0.0045963444720436165,0.9868582961611846,22.210116242123885
M2 VTDR share,z_optom,-0.08589054258405215,0.0075305067336019615,1.500088616032014e-29,0.9176946742106038,22.210116242123885
M2 VTDR share,z_popdens,0.022787660699989908,0.006877101056790265,9.317131961376451e-4,1.0230492829133633,22.210116242123885
M2 VTDR share,z_rucc,-0.06288184191600737,0.009138817845893698,7.169104009126925e-12,0.9390544240056711,22.210116242123885
M3 VTDR share,z_log_drive,-0.02355551060064128,0.0023817355891536814,9.912173145678692e-23,0.9767197548637201,15.24599599888412
M3 VTDR share,z_ophth,-0.007609166643169258,0.0038728929270342963,0.04953500565016464,0.9924197097770824,15.24599599888412
M3 VTDR share,z_optom,-0.032552409190195274,0.00623693530529985,1.9139196399420746e-7,0.9679717178880411,15.24599599888412
M3 VTDR share,z_popdens,-0.0063731393165503405,0.005727415798715781,0.265904957206551,0.9936471260616097,15.24599599888412
M3 VTDR share,z_rucc,-0.10236672578690059,0.007728272238936544,5.3222947992451784e-39,0.9026984481617545,15.24599599888412
M3 VTDR share,z_svi,0.14509037706635838,0.003920556343756509,9.075568929260688e-249,1.1561440544543926,15.24599599888412
L1 DR level,z_log_drive,-0.01621156838095875,0.0019713949537137317,2.8702000967784146e-16,0.9839191318553205,105.98680973549438
L2 DR level,z_log_drive,-0.008273881951054324,0.0028150049596037396,0.003314736087318668,0.9917602524041337,103.72167250095062
L2 DR level,z_ophth,-0.00872636357617447,0.0046087729245118305,0.058394089176199475,0.9913116006243942,103.72167250095062
L2 DR level,z_optom,-0.027915582085401316,0.007076611623912,8.164002395936276e-5,0.9724704572642564,103.72167250095062
L2 DR level,z_popdens,0.05142742564383349,0.0068692159514930655,9.146361673631145e-14,1.0527727792129284,103.72167250095062
L2 DR level,z_rucc,0.03266694210519513,0.008718984379588152,1.8246596044780729e-4,1.033206364392788,103.72167250095062
L3 DR level,z_log_drive,-0.00536718952571825,0.002846353502657542,0.059436950311774005,0.9946471881019993,102.59376892696505
L3 DR level,z_ophth,-0.007536558073783384,0.0045886917279949705,0.1006040701248701,0.9924917705685234,102.59376892696505
L3 DR level,z_optom,-0.02018392096526907,0.007149453939010266,0.004785779755802686,0.9800184107981407,102.59376892696505
L3 DR level,z_popdens,0.04680741583496972,0.0068783247568951975,1.2067394297025657e-11,1.0479201768131603,102.59376892696505
L3 DR level,z_rucc,0.02674091285904169,0.008747555304927815,0.0022549472104074863,1.0271016594554019,102.59376892696505
L3 DR level,z_svi,0.024824366189368847,0.00453022670335756,4.5996738112027526e-8,1.025135056335856,102.59376892696505
G3 glaucoma share,z_log_drive,-0.0025492397710736134,2.8712252953047416e-4,1.1202814016484667e-18,0.9974540067812988,0.13747328329101902
G3 glaucoma share,z_ophth,0.0015595416994282965,4.3754876612863233e-4,3.7035523561031506e-4,1.0015607584170094,0.13747328329101902
G3 glaucoma share,z_optom,-0.005656990038811322,6.993303267191781e-4,8.522066491097224e-16,0.9943589805998988,0.13747328329101902
G3 glaucoma share,z_popdens,0.015879891169766337,7.003784119600799e-4,1.836709118903524e-105,1.0160066467074331,0.13747328329101902
G3 glaucoma share,z_rucc,0.003831932252075596,8.628375599480393e-4,9.262379589647418e-6,1.0038392834912855,0.13747328329101902
G3 glaucoma share,z_svi,0.018863221728582204,4.441671659374941e-4,2.8194673511275e-311,1.0190422562463906,0.13747328329101902
