spec,term,beta,se_model,se_cluster,infl,p_cluster,lo,hi,block
"SVI, primary",z_svi,0.03529787929785571,0.0015997629322986396,0.006240425820283575,3.9008441152695923,1.5464811206308135e-8,0.0230666446900999,0.047529113905611514,R1
"Academic drive time, primary",z_acad,-0.017402466829462428,0.0010379375308420264,0.0052674496845717695,5.074919759668535,9.53924723706764e-4,-0.027726668211223097,-0.00707826544770176,R1
SVI x age65 interaction,z_svi:age65,-0.003626634062238769,0.00280075485499701,0.0011447190068094987,0.4087180299864983,0.0015341578385679058,-0.005870283315585386,-0.0013829848088921515,R2
Overall SVI (4 themes),z_svi,0.03529787929785571,0.0015997629322986396,0.006240425820283575,3.9008441152695923,1.5464811206308135e-8,0.0230666446900999,0.047529113905611514,R3
SVI excluding Theme 3,z_no3,0.027282338448499036,0.001572656773325272,0.006286165658808875,3.9971631225783746,1.4244357806177483e-5,0.014961453757233642,0.03960322313976443,R3
Theme 1 socioeconomic alone,z_t1,0.03389293343294775,0.0015043970639964928,0.0065961718658281,4.384595013968651,2.77274504942725e-7,0.020964436575924672,0.04682143028997082,R3
Theme 3 minority status alone,z_t3,0.06931418927854094,0.001923153444659808,0.005873662618115883,3.0541830317418546,3.8640599402024016e-32,0.05780181054703381,0.08082656801004807,R3
all four jointly,z_t1,0.023231084732696233,0.002367554513938764,0.011194381324319134,4.728246491649177,0.03796382684408343,0.0012900973370307302,0.04517207212836173,R3
all four jointly,z_t2,-0.02491399402417165,0.0019401087165870027,0.008490768718954626,4.37643965328469,0.0033436037618325954,-0.04155590071332271,-0.008272087335020582,R3
all four jointly,z_t3,0.07143244836191195,0.002415129811440936,0.0075520932228158744,3.126992672211718,3.1200694769948627e-21,0.05663034564519284,0.08623455107863107,R3
all four jointly,z_t4,-0.012961296555667462,0.0019866482745006537,0.00964743546672679,4.856136635032532,0.1791112326900929,-0.03187027007045197,0.005947676959117047,R3
with provider density,z_svi,0.03529787929785571,0.0015997629322986396,0.006240425820283575,3.9008441152695923,1.5464811206308135e-8,0.0230666446900999,0.047529113905611514,R4
without provider density,z_svi,0.03805638907752714,0.0015538541155458965,0.006234587437743649,4.012337693331866,1.0339775303131676e-9,0.025836597699549588,0.05027618045550469,R4
